area_sqm,rooms,bathrooms,floor,property_age,latitude,longitude,district,price
330.8,8,5,7,8,30.051999,31.209185,Mohandeseen,7712000
67.0,3,2,6,0,29.979766,31.268524,Maadi,1348000
238.4,6,5,10,0,30.079475,31.214655,Zamalek,12336000
234.8,6,5,5,14,30.005116,31.406505,New Cairo,3334000
380.3,8,5,9,0,30.006927,31.424103,New Cairo,9747000
71.7,3,2,18,16,30.089351,31.345602,Heliopolis,1574000
253.0,5,4,12,42,30.077897,31.221958,Zamalek,5549000
243.5,6,5,13,2,30.076044,31.211491,Zamalek,10125000
204.0,5,4,11,3,30.064227,31.215804,Mohandeseen,5925000
99.4,3,2,12,6,30.061271,31.21622,Zamalek,4208000
286.4,7,5,3,9,30.083588,31.351397,Heliopolis,5822000
147.1,3,3,15,1,30.058787,31.204034,Mohandeseen,4686000
276.4,7,5,4,35,30.087479,31.342311,Heliopolis,2871000
263.6,7,5,2,14,30.088869,31.333165,Heliopolis,5013000
333.2,8,5,11,5,30.003663,31.43563,New Cairo,7105000
205.2,6,5,3,0,29.965322,31.262522,Maadi,4958000
295.4,7,5,15,2,29.986563,30.964648,Sheikh Zayed,6858000
387.2,8,5,3,5,30.065697,31.210738,Zamalek,16970000
392.0,8,5,5,6,30.052687,31.243614,Downtown,8929000
142.3,4,4,17,19,30.061033,31.345292,Nasr City,2119000
195.6,6,5,1,2,30.065246,31.347833,Nasr City,2648000
65.6,2,2,7,2,30.020728,31.438674,New Cairo,1200000
344.8,8,5,18,38,30.077547,31.215159,Zamalek,12004000
235.7,5,5,16,50,30.051166,31.247653,Downtown,4755000
175.3,4,3,16,34,30.067742,31.215598,Mohandeseen,2338000
327.0,8,5,3,6,30.108204,31.35921,Heliopolis,7165000
114.7,3,2,3,15,30.064485,31.224244,Zamalek,3151000
184.6,5,5,17,5,30.016276,31.450881,New Cairo,3412000
150.2,3,2,6,7,30.076761,31.345246,Nasr City,1900000
287.4,8,5,16,4,30.000729,31.464547,New Cairo,8167000
398.1,8,5,6,6,30.040309,31.248566,Downtown,13936000
393.3,8,5,1,5,29.955085,31.266704,Maadi,8607000
347.0,8,5,18,14,30.069801,31.202802,Mohandeseen,10923000
348.5,8,5,16,12,30.04593,31.238396,Downtown,12335000
354.8,8,5,7,10,30.075966,31.222999,Zamalek,17434000
361.4,8,5,2,8,30.020161,31.432815,New Cairo,6954000
244.5,6,5,17,0,30.076452,31.217204,Zamalek,13867000
152.3,5,5,4,27,29.985831,30.952908,Sheikh Zayed,1568000
276.7,7,5,18,10,29.959689,31.273856,Maadi,6813000
145.3,3,2,9,17,30.051164,31.218304,Mohandeseen,2145000
145.1,4,3,8,40,30.062765,31.210334,Mohandeseen,1676000
202.7,5,4,19,21,29.980432,30.929286,Sheikh Zayed,4340000
92.0,2,1,5,9,29.982935,30.959329,Sheikh Zayed,1183000
280.9,6,5,5,32,30.057827,31.320612,Nasr City,2285000
231.1,6,5,13,2,29.952117,31.269273,Maadi,6152000
332.3,8,5,1,9,29.966369,31.278244,Maadi,6543000
338.9,8,5,12,4,29.956438,31.261318,Maadi,9366000
